Column1,Name,Description,Type,Reference,Sports,Spiritual,
25,Baldwin Scholars,"The Baldwin Scholars program contributes to Duke Universityâs mission âto provide a superior liberal education to undergraduate students, attending not only to their intellectual growth but also to their development as adults committed to high ethical standards and full participation as leaders in their communities...â",Group,http://baldwinscholars.duke.edu/,0,0,
26,Duke Best Buddies,The mission of BB is to make a positive impact on the lives of individuals with developmental and intellectual disabilities in the Durham area. BB seeks to accomplish this mission by hosting events that seek to build meaningful relationships between Duke students and individuals with intellectual and developmental disabilities in the Durham area and by having awareness events that raise awareness and inclusion for the disability community.,Group,http://bestbuddies.org/,0,0,
27,Chapel Choir,"The Chapel Choir is a close-knit collection of students, alumni, faculty, staff, and community members who sing a variety of repertoire and major choral works during the academic year.",Group,http://chapel.duke.edu/sing,0,0,
28,Duke Democrats,Duke Democrats is the affiliate of the Democratic Party at Duke University. We are a political and social group dedicated to electing Democrats and fighting for social justice and progressive policies.,Group,http://devildems.com/,0,0,
29,Devils en Pointe,"The mission of DEP is to learn, perform, and share ballet, both creating new works and drawing upon choreography from classical and contemporary repertory. We strive to serve as a bridge between the Duke Dance Program ballet faculty and Duke University's ballet students.",Group,http://devilsenpointe.org/,0,0,
30,DukeAFRICA,"DukeAFRICA values representation, inclusion, and acceptance of all African students at Duke. We are a family of students that are passionate about the continent of Africa and are determined to educate the Duke community culturally, intellectually, and socially about African truths in an effort to deconstruct false impressions. Students can find a warm and welcoming environment in which to celebrate and understand the diverse history of the African continent.",Group,http://dukeafricablog.wordpess.com/,0,0,
31,alpha Kappa Delta Phi,"Our mission is to provide sisterhood among women, and to promote scholarship, leadership and Asian awareness in the University and community. Further, to provide a support group for those in their times of need and to encourage the making of successful women.",Group,http://dukeakdphi.com/,0,0,
32,Duke Chinese Theater,"The mission of Duke Chinese Theater is to unite those who are passionate about Chinese theater to regularly present Chinese theater pieces for our community, and to raise awareness of Chinese culture. DCT seeks to accomplish this mission by putting on a public performance every semester, and by hosting Chinese theater workshops and events.",Group,http://dukechinesetheater.weebly.com/,0,0,
33,Club Swimming,"Duke Club Swimming is an inclusive, student-run club for swimmers of all abilities and types!",Group,http://dukeclubswimming.blogspot.com/,1,0,
34,Duke Conservation Tech,"Blueprint is a sustainable tech ideation conference presented by Duke Conservation Tech: we bring together passionate students, visionary experts, and driven organizations to address critical environmental issues. We combine the unbridled optimism of students with real-world experience of experts to foster courageous and interdisciplinary innovations that address our planets complex, escalating challenges.",Group,http://dukeconservationtech.com/,0,0,
35,Duke University Debating Society,"Duke University Debate Society competes in the British Parliamentary format of debate. We hope to develop our members' skills in critical thinking and public speaking, and to grow their general knowledge. We also hope to foster a community of outspoken, well informed, and cooperative thinkers.",Group,http://dukedebate.org/,0,0,
36,Duke Dhamaka,"The mission of Duke Dhamaka is to promote South Asian culture and awareness on campus by engaging in on-campus performances and hosting social dance events and workshops. Dhamaka also guest performs in showcases for other dance groups on campus. In addition, as a Duke team, Dhamaka represents Duke nationwide in competitions and fosters Duke athletic spirit and enthusiasm.",Group,http://dukedhamaka.weebly.com/,0,0,
37,Duke University EMS,"DUEMS seeks to promote the values of health, service, leadership, and teamwork among the Durham community. We provide volunteer emergency medical care to Duke University at sporting and campus events under Duke Life Flight.",Group,http://dukeems.org/,0,0,1
38,Duke Engage,"Through DukeEngage, students and faculty collaborate with communities  locally and globally  to address critical social issues through an immersive summer of community engagement.",Group,http://dukeengage.duke.edu/,0,0,
39,Club Equestrian,The Duke University Equestrian Team (DUET) is a talented group of athletes who strive to be competitive in the Intercollegiate Horse Show Association (IHSA) while also practicing safe and enjoyable horsemanship.,Group,http://dukeequestrian.wordpress.com/,1,0,
40,Gente Aprendiendo para Nuevas Oportunidades,"GANO's mission is to provide provide free, accessible, and high quality English tutoring to the Hispanic community in the Raleigh-Durham area.",Group,http://dukegano.wordpress.com/,0,0,
41,Blue Devils Versus Cancer,"The purpose of this organization is to support the Duke Cancer Institute (DCI) in their effort to fundraise for cancer research, help improve patient care and accelerate the translation of cancer-related discoveries in the lab into better treatment for cancer patients.",Group,http://dukegroups.duke.edu/bdvsc,0,0,
42,Duke University Indian Students Association (Graduate),"Aims to foster social exchange between all Indian graduate students, post-doctoral fellows, employees as well as members of the Duke University community interested in Indian culture at Duke, through social and cultural events.",Group,http://dukegroups.duke.edu/disa/,0,0,
43,Hurston-James Society,"The Hurston-James Society provides academic, social, and professional support for minority graduate students in the humanities and social sciences. Named for Zora Neale Hurston, novelist and anthropologist, and C.L.R. James, historian, novelist, critic, and social activist, the Society addresses issues relevant to their survival and growth as members of the academic community. Membership in the Hurston-James Society is open to all students of color enrolled in the Duke Universityâs Graduate School or in graduate programs at other Triangle area universities.",Group,http://dukegroups.duke.edu/hjsociety/,0,0,
44,Bench and Bar Pre-Law Society,The mission of Bench and Bar is to provide services to undergraduates interested in,Group,http://dukegroups.duke.edu/prelaw/,0,0,
45,Duke Lasya,"We are Duke Lasya, Duke University's premier classical Indian dance team. Our members are trained in Bharatanatyam, Kuchipudi, Kathak, and Odissi (and we even have some novice classical dancers!) We strive to maintain the traditional elements of our classical dance upbringing while fostering a creative and independent spirit in our choreography through incorporation of modern and classical music. We aim to tell stories important to us as women, as Indian Americans, as college students, through dance. As Duke's representation in the world of collegiate classical dance, we compete at various competitions across the nation, and we also showcase our cultural heritage through performances on campus throughout the year.",Group,http://dukelasya.wixsite.com/dukelasya,0,0,
46,Duke Moot Court,"Duke Moot Court is a student-led undergraduate organization which seeks to provide students with opportunities to engage in legal reasoning, learn more about constitutional jurisprudence, and form positive connections with students, faculty, and pre-law resources through a collaborative and supportive community.",Group,http://dukemootcourt.strikingly.com/,0,0,
47,Duke Performances,"Duke Performances â the professional performing arts presenting organization at Duke University in Durham, North Carolina â is dedicated to bringing world-class performing artists, who are diverse, essential, and forward thinking, to perform at Duke and in Durham, to engage the Duke and Durham communities and beyond, and to partner with artists on the development and presentation of performance. Drawing on the resources of a leading research university and an exciting and invigorated Durham community, Duke Performances serves as a space for reflection, a laboratory for creative and critical inquiry, and a place for socially engaged performance.",Group,http://dukeperformances.org/,0,0,
48,Duke Robotics Club,"The Duke Robotics Club is a student-run organization in Duke Universityâs Pratt School of Engineering. Our mission is to provide Duke undergraduate and graduate students a place to pursue their interest in robotics by working on high-impact, large-scale robotics projects and competitions, primarily in the realm of Autonomous Underwater Vehicles (AUVs). These projects allow our talented students to hone their skills and demonstrate the strength of Duke Engineering.",Group,http://duke-robotics.com/,0,0,
49,Sabrosura,"At present, Sabrosura specializes in a wide selection of dance forms: salsa, merengue, bachata, cha cha, tango, flamenco, samba, reggaeton, lambada, hip-hop, and modern. Having endured unprecedented growth with regard to the sheer size and diversity of its membership, as well as the breadth of its creative repertoire, Sabrosura hopes to continue to inspire and entertain those members of the Duke and Durham communities that cherish the passion and excitement so unmistakably characteristic of Latin dance.",Group,http://dukesabrosura.weebly.com/,0,0,
50,Society of American Foresters: Duke Chapter,"Founded in 1900 by Gifford Pinchot, the Society of American Foresters (SAF) is the national scientific and educational organization representing the forestry profession in the U.S. SAFâs mission is to advance the science, education, technology, and practice of forestry; to enhance the competency of its members; to establish professional excellence; and to use the knowledge, skills, and conservation ethic of the profession to ensure the continued health and use of forest ecosystems and the present and future availability of forest resources to benefit society.",Group,http://dukesaf.blogspot.com/,0,0,
